App,Tag,FilePath,RelativeFilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\features\TesterRequirements.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/features/TesterRequirements.java,TesterRequirements.java,TesterRequirements,7,5,7,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\google\TestBiMapGenerator.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestBiMapGenerator.java,TestBiMapGenerator.java,TestBiMapGenerator,6,2,0,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\google\TestEnumMultisetGenerator.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestEnumMultisetGenerator.java,TestEnumMultisetGenerator.java,TestEnumMultisetGenerator,8,5,8,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\google\TestListMultimapGenerator.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestListMultimapGenerator.java,TestListMultimapGenerator.java,TestListMultimapGenerator,4,0,0,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\google\TestMultimapGenerator.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestMultimapGenerator.java,TestMultimapGenerator.java,TestMultimapGenerator,8,5,0,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\google\TestMultisetGenerator.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestMultisetGenerator.java,TestMultisetGenerator.java,TestMultisetGenerator,5,1,0,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\google\TestSetMultimapGenerator.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestSetMultimapGenerator.java,TestSetMultimapGenerator.java,TestSetMultimapGenerator,2,0,0,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\google\TestStringBiMapGenerator.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestStringBiMapGenerator.java,TestStringBiMapGenerator.java,TestStringBiMapGenerator,7,7,9,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\google\TestStringListMultimapGenerator.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestStringListMultimapGenerator.java,TestStringListMultimapGenerator.java,TestStringListMultimapGenerator,9,10,12,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\google\TestStringMultisetGenerator.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestStringMultisetGenerator.java,TestStringMultisetGenerator.java,TestStringMultisetGenerator,6,5,7,0,0,0,true,true,false,false,false,false,false,false,false,false
