App,Tag,FilePath,RelativeFilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\main\java\org\apache\pulsar\tests\TestRetrySupport.java,dataset/projects/pulsar/buildtools/src/main/java/org/apache/pulsar/tests/TestRetrySupport.java,TestRetrySupport.java,TestRetrySupport,stateCheck,1,1,void,public; final,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\main\java\org\apache\pulsar\tests\TestRetrySupport.java,dataset/projects/pulsar/buildtools/src/main/java/org/apache/pulsar/tests/TestRetrySupport.java,TestRetrySupport.java,TestRetrySupport,failureCheck,1,2,void,public; final,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\main\java\org\apache\pulsar\tests\TestRetrySupport.java,dataset/projects/pulsar/buildtools/src/main/java/org/apache/pulsar/tests/TestRetrySupport.java,TestRetrySupport.java,TestRetrySupport,incrementSetupNumber,3,0,void,protected; final,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\main\java\org\apache\pulsar\tests\TestRetrySupport.java,dataset/projects/pulsar/buildtools/src/main/java/org/apache/pulsar/tests/TestRetrySupport.java,TestRetrySupport.java,TestRetrySupport,markCurrentSetupNumberCleaned,2,0,void,protected; final,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\main\java\org\apache\pulsar\tests\TestRetrySupport.java,dataset/projects/pulsar/buildtools/src/main/java/org/apache/pulsar/tests/TestRetrySupport.java,TestRetrySupport.java,TestRetrySupport,setup,0,0,void,protected; abstract,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\main\java\org\apache\pulsar\tests\TestRetrySupport.java,dataset/projects/pulsar/buildtools/src/main/java/org/apache/pulsar/tests/TestRetrySupport.java,TestRetrySupport.java,TestRetrySupport,cleanup,0,0,void,protected; abstract,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\AnnotationListenerTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/AnnotationListenerTest.java,AnnotationListenerTest.java,AnnotationListenerTest,shouldSetDefaultRetryAnalyser,4,0,void,,true,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\BetweenTestClassesListenerAdapterTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/BetweenTestClassesListenerAdapterTest.java,BetweenTestClassesListenerAdapterTest.java,FactoryMethodCaseWithoutAfterClass,setUp,2,0,void,public,false,false,true,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\BetweenTestClassesListenerAdapterTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/BetweenTestClassesListenerAdapterTest.java,BetweenTestClassesListenerAdapterTest.java,FactoryMethodCaseWithoutAfterClass,testListenerWithNoAfterClassMethods,2,0,void,public,true,true,true,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\BetweenTestClassesListenerAdapterTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/BetweenTestClassesListenerAdapterTest.java,BetweenTestClassesListenerAdapterTest.java,FactoryMethodCaseWithoutAfterClass,testListenerWithOneAfterClassMethod,2,0,void,public,true,true,true,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\BetweenTestClassesListenerAdapterTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/BetweenTestClassesListenerAdapterTest.java,BetweenTestClassesListenerAdapterTest.java,FactoryMethodCaseWithoutAfterClass,testListenerWithMultipleAfterClassMethods,2,0,void,public,true,true,true,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\BetweenTestClassesListenerAdapterTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/BetweenTestClassesListenerAdapterTest.java,BetweenTestClassesListenerAdapterTest.java,FactoryMethodCaseWithoutAfterClass,testListenerWithDisabledAfterClassMethod,2,0,void,public,true,true,true,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\BetweenTestClassesListenerAdapterTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/BetweenTestClassesListenerAdapterTest.java,BetweenTestClassesListenerAdapterTest.java,FactoryMethodCaseWithoutAfterClass,testListenerWithFailingAfterClassMethods,2,0,void,public,true,true,true,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\BetweenTestClassesListenerAdapterTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/BetweenTestClassesListenerAdapterTest.java,BetweenTestClassesListenerAdapterTest.java,FactoryMethodCaseWithoutAfterClass,testListenerWithTimeoutAndAfterClassMethod,2,0,void,public,true,true,true,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\BetweenTestClassesListenerAdapterTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/BetweenTestClassesListenerAdapterTest.java,BetweenTestClassesListenerAdapterTest.java,FactoryMethodCaseWithoutAfterClass,testListenerWithFactoryMethod,4,0,void,public,true,true,true,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\BetweenTestClassesListenerAdapterTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/BetweenTestClassesListenerAdapterTest.java,BetweenTestClassesListenerAdapterTest.java,FactoryMethodCaseWithoutAfterClass,testListenerWithFactoryMethodWithoutAfterClassMethods,4,0,void,public,true,true,true,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\BetweenTestClassesListenerAdapterTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/BetweenTestClassesListenerAdapterTest.java,BetweenTestClassesListenerAdapterTest.java,FactoryMethodCaseWithoutAfterClass,testListenerWithMultipleTestClasses,7,0,void,public,true,true,true,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\BetweenTestClassesListenerAdapterTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/BetweenTestClassesListenerAdapterTest.java,BetweenTestClassesListenerAdapterTest.java,FactoryMethodCaseWithoutAfterClass,verifyListenerCalledForClass,3,1,void,private,false,false,true,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\BetweenTestClassesListenerAdapterTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/BetweenTestClassesListenerAdapterTest.java,BetweenTestClassesListenerAdapterTest.java,FactoryMethodCaseWithoutAfterClass,runTestNGWithClass,1,1,void,private,false,false,true,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\BetweenTestClassesListenerAdapterTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/BetweenTestClassesListenerAdapterTest.java,BetweenTestClassesListenerAdapterTest.java,FactoryMethodCaseWithoutAfterClass,runTestNGWithClasses,14,2,void,private,false,false,true,false
