Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.apache.cassandra.audit,dataset\projects\cassandra\src\java\org\apache\cassandra\audit\AuditLogEntry.java,3,179,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.cassandra.audit,dataset\projects\cassandra\src\java\org\apache\cassandra\audit\AuditLogManager.java,3,19,A value of 26 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.apache.cassandra.audit,dataset\projects\cassandra\src\java\org\apache\cassandra\audit\AuditLogManager.java,3,74,"Possible God Class (WMC=62, ATFD=80, TCC=5.747%)",Design,GodClass
3,org.apache.cassandra.audit,dataset\projects\cassandra\src\java\org\apache\cassandra\audit\AuditLogManager.java,3,75,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.cassandra.audit,dataset\projects\cassandra\src\java\org\apache\cassandra\audit\AuditLogOptions.java,3,77,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\AuthCache.java,3,62,"Possible God Class (WMC=49, ATFD=15, TCC=25.846%)",Design,GodClass
2,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\AuthCache.java,3,63,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
3,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\AuthCache.java,3,118,Avoid long parameter lists.,Design,ExcessiveParameterList
4,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\AuthCache.java,3,161,Avoid long parameter lists.,Design,ExcessiveParameterList
1,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\AuthConfig.java,3,53,The method 'applyAuth()' has a cyclomatic complexity of 19.,Design,CyclomaticComplexity
1,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\CIDRGroupsMappingIntervalTree.java,3,19,A value of 25 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\CIDRGroupsMappingIntervalTree.java,3,123,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\CIDRGroupsMappingManager.java,3,58,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\CassandraAuthorizer.java,3,18,A value of 27 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\CassandraAuthorizer.java,3,75,"Possible God Class (WMC=65, ATFD=40, TCC=3.695%)",Design,GodClass
3,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\CassandraAuthorizer.java,3,76,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
4,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\CassandraAuthorizer.java,3,331,"The method 'list(AuthenticatedUser, Set<Permission>, IResource, RoleResource)' has a cyclomatic complexity of 11.",Design,CyclomaticComplexity
1,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\CassandraRoleManager.java,3,18,A value of 40 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\CassandraRoleManager.java,3,104,"Possible God Class (WMC=116, ATFD=93, TCC=2.722%)",Design,GodClass
3,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\CassandraRoleManager.java,3,104,The class 'CassandraRoleManager' has a total cyclomatic complexity of 116 (highest 11).,Design,CyclomaticComplexity
4,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\CassandraRoleManager.java,3,105,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
5,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\CassandraRoleManager.java,3,933,"The method 'getResultMessageForRoleCreatedOrAltered(RoleResource, RoleOptions)' has a cyclomatic complexity of 11.",Design,CyclomaticComplexity
1,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\DataResource.java,3,40,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\FunctionResource.java,3,50,"Possible God Class (WMC=61, ATFD=8, TCC=29.524%)",Design,GodClass
2,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\FunctionResource.java,3,51,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\IRoleManager.java,3,39,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\JMXResource.java,3,33,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\MutualTlsAuthenticator.java,3,203,The method 'getAuthenticatedUser()' has a cyclomatic complexity of 12.,Design,CyclomaticComplexity
1,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\PasswordAuthenticator.java,3,65,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
2,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\PasswordAuthenticator.java,3,331,The method 'decodeCredentials(byte[])' has a cyclomatic complexity of 12.,Design,CyclomaticComplexity
1,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\RoleOptions.java,3,135,The method 'validate()' has a cyclomatic complexity of 28.,Design,CyclomaticComplexity
1,org.apache.cassandra.auth,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\RoleResource.java,3,38,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.cassandra.auth.jmx,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\jmx\AuthorizationProxy.java,3,92,"Possible God Class (WMC=80, ATFD=24, TCC=23.810%)",Design,GodClass
2,org.apache.cassandra.auth.jmx,dataset\projects\cassandra\src\java\org\apache\cassandra\auth\jmx\AuthorizationProxy.java,3,92,The class 'AuthorizationProxy' has a total cyclomatic complexity of 80 (highest 16).,Design,CyclomaticComplexity
