Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.apache.dubbo.rpc.cluster,dataset\projects\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\SingleRouterChain.java,3,50,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
2,org.apache.dubbo.rpc.cluster,dataset\projects\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\SingleRouterChain.java,3,162,"The method 'simpleRoute(URL, BitList<Invoker<T>>, Invocation)' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
3,org.apache.dubbo.rpc.cluster,dataset\projects\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\SingleRouterChain.java,3,212,"The method 'buildRouterSnapshot(URL, BitList<Invoker<T>>, Invocation)' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
1,org.apache.dubbo.rpc.cluster.configurator,dataset\projects\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\configurator\AbstractConfigurator.java,3,70,The method 'configure(URL)' has a cyclomatic complexity of 10.,Design,CyclomaticComplexity
2,org.apache.dubbo.rpc.cluster.configurator,dataset\projects\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\configurator\AbstractConfigurator.java,3,159,The method 'isV27ConditionMatchOrUnset(URL)' has a cyclomatic complexity of 14.,Design,CyclomaticComplexity
3,org.apache.dubbo.rpc.cluster.configurator,dataset\projects\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\configurator\AbstractConfigurator.java,3,201,"The method 'isDeprecatedConditionMatch(Set<String>, URL)' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
1,org.apache.dubbo.rpc.cluster.configurator.parser.model,dataset\projects\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\configurator\parser\model\ConditionMatch.java,3,74,"The method 'isMatch(String, URL)' has a cyclomatic complexity of 12.",Design,CyclomaticComplexity
1,org.apache.dubbo.rpc.cluster.configurator.parser.model,dataset\projects\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\configurator\parser\model\ConfigItem.java,3,57,"The method 'parseFromMap(Map<String, Object>)' has a cyclomatic complexity of 15.",Design,CyclomaticComplexity
1,org.apache.dubbo.rpc.cluster.directory,dataset\projects\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\directory\AbstractDirectory.java,3,17,A value of 23 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.apache.dubbo.rpc.cluster.directory,dataset\projects\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\directory\AbstractDirectory.java,3,82,"Possible God Class (WMC=65, ATFD=38, TCC=19.786%)",Design,GodClass
3,org.apache.dubbo.rpc.cluster.directory,dataset\projects\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\directory\AbstractDirectory.java,3,82,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
4,org.apache.dubbo.rpc.cluster.directory,dataset\projects\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\directory\AbstractDirectory.java,3,204,The method 'list(Invocation)' has a cyclomatic complexity of 14.,Design,CyclomaticComplexity
