Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.elasticsearch.benchmark._nightly,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\BytesBuilderBenchmark.java,3,118,The method 'setup()' has a cyclomatic complexity of 10.,Design,CyclomaticComplexity
2,org.elasticsearch.benchmark._nightly,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\BytesBuilderBenchmark.java,3,625,The method 'build(String)' has a cyclomatic complexity of 12.,Design,CyclomaticComplexity
1,org.elasticsearch.benchmark._nightly.esql,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\esql\CsvReadBenchmark.java,3,80,The method 'setup()' has a cyclomatic complexity of 13.,Design,CyclomaticComplexity
1,org.elasticsearch.benchmark._nightly.esql,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\esql\GroupedTopNBenchmark.java,3,56,"Possible God Class (WMC=55, ATFD=10, TCC=31.818%)",Design,GodClass
2,org.elasticsearch.benchmark._nightly.esql,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\esql\GroupedTopNBenchmark.java,3,56,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
3,org.elasticsearch.benchmark._nightly.esql,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\esql\GroupedTopNBenchmark.java,3,242,"The method 'groupKeyBlock(String, int, int, int, int)' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
1,org.elasticsearch.benchmark._nightly.esql,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\esql\OrcReadBenchmark.java,3,8,A value of 21 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
1,org.elasticsearch.benchmark._nightly.esql,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\esql\TopNBenchmark.java,3,61,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.elasticsearch.benchmark._nightly.esql,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\esql\ValuesSourceReaderBenchmark.java,3,10,A value of 39 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.elasticsearch.benchmark._nightly.esql,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\esql\ValuesSourceReaderBenchmark.java,3,96,"Possible God Class (WMC=89, ATFD=35, TCC=14.545%)",Design,GodClass
3,org.elasticsearch.benchmark._nightly.esql,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\esql\ValuesSourceReaderBenchmark.java,3,96,The class 'ValuesSourceReaderBenchmark' has a total cyclomatic complexity of 89 (highest 35).,Design,CyclomaticComplexity
4,org.elasticsearch.benchmark._nightly.esql,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\esql\ValuesSourceReaderBenchmark.java,3,96,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
5,org.elasticsearch.benchmark._nightly.esql,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\esql\ValuesSourceReaderBenchmark.java,3,215,The method 'blockLoader(String)' has a cyclomatic complexity of 10.,Design,CyclomaticComplexity
6,org.elasticsearch.benchmark._nightly.esql,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\esql\ValuesSourceReaderBenchmark.java,3,313,The method 'benchmark()' has a cyclomatic complexity of 35.,Design,CyclomaticComplexity
7,org.elasticsearch.benchmark._nightly.esql,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\esql\ValuesSourceReaderBenchmark.java,3,479,The method 'setupPages()' has a cyclomatic complexity of 18.,Design,CyclomaticComplexity
8,org.elasticsearch.benchmark._nightly.esql,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\_nightly\esql\ValuesSourceReaderBenchmark.java,3,596,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.elasticsearch.benchmark.bytes,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\bytes\RecyclerBytesStreamOutputWriteBenchmark.java,3,38,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
2,org.elasticsearch.benchmark.bytes,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\bytes\RecyclerBytesStreamOutputWriteBenchmark.java,3,38,Too many fields,Design,TooManyFields
1,org.elasticsearch.benchmark.common.util,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\common\util\ContainsBenchmark.java,3,93,"The method 'scalarContains(byte[], int, int, byte[], int, int)' has a cyclomatic complexity of 11.",Design,CyclomaticComplexity
1,org.elasticsearch.benchmark.common.util,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\common\util\IntArrayBenchmark.java,3,65,The method 'bytesImpl(BytesReference)' has a cyclomatic complexity of 10.,Design,CyclomaticComplexity
1,org.elasticsearch.benchmark.compute.aggregation,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\aggregation\MaxDoubleAggregatorBenchmark.java,3,90,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
2,org.elasticsearch.benchmark.compute.aggregation,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\aggregation\MaxDoubleAggregatorBenchmark.java,3,170,The method 'buildBlocks(String)' has a cyclomatic complexity of 10.,Design,CyclomaticComplexity
1,org.elasticsearch.benchmark.compute.aggregation,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\aggregation\SumIntAggregatorBenchmark.java,3,95,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
2,org.elasticsearch.benchmark.compute.aggregation,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\aggregation\SumIntAggregatorBenchmark.java,3,193,The method 'buildBlocks(String)' has a cyclomatic complexity of 12.,Design,CyclomaticComplexity
1,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\AggregatorBenchmark.java,3,10,A value of 22 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\AggregatorBenchmark.java,3,78,The class 'AggregatorBenchmark' has a total cyclomatic complexity of 270 (highest 65).,Design,CyclomaticComplexity
3,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\AggregatorBenchmark.java,3,78,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
4,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\AggregatorBenchmark.java,3,184,"The method 'operator(DriverContext, String, String, String, String)' has a cyclomatic complexity of 16.",Design,CyclomaticComplexity
5,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\AggregatorBenchmark.java,3,224,"The method 'supplier(String, String, String)' has a cyclomatic complexity of 19.",Design,CyclomaticComplexity
6,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\AggregatorBenchmark.java,3,279,"The method 'checkGrouped(String, String, String, String, String, Page, int)' has a cyclomatic complexity of 65.",Design,CyclomaticComplexity
7,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\AggregatorBenchmark.java,3,445,"The method 'checkGroupingBlock(String, String, Block)' has a cyclomatic complexity of 31.",Design,CyclomaticComplexity
8,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\AggregatorBenchmark.java,3,507,"The method 'checkUngrouped(String, String, String, String, Block, int)' has a cyclomatic complexity of 43.",Design,CyclomaticComplexity
9,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\AggregatorBenchmark.java,3,604,"The method 'dataBlock(BlockFactory, String)' has a cyclomatic complexity of 17.",Design,CyclomaticComplexity
10,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\AggregatorBenchmark.java,3,678,"The method 'groupingBlock(String, String)' has a cyclomatic complexity of 31.",Design,CyclomaticComplexity
11,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\AggregatorBenchmark.java,3,815,"The method 'run(String, String, String, String, int)' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
1,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\BlockBenchmark.java,3,100,"The method 'buildBlocks(String, String, int)' has a cyclomatic complexity of 71.",Design,CyclomaticComplexity
1,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\BlockKeepMaskBenchmark.java,3,43,"Possible God Class (WMC=53, ATFD=8, TCC=3.297%)",Design,GodClass
2,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\BlockKeepMaskBenchmark.java,3,43,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
3,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\BlockKeepMaskBenchmark.java,3,73,"The method 'checksumsFor(String, Block[], BooleanVector)' has a cyclomatic complexity of 12.",Design,CyclomaticComplexity
1,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\BlockReadBenchmark.java,3,27,"Possible God Class (WMC=59, ATFD=14, TCC=3.297%)",Design,GodClass
2,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\BlockReadBenchmark.java,3,27,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
3,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\BlockReadBenchmark.java,3,72,"The method 'buildBenchmarkBlocks(String, String, int)' has a cyclomatic complexity of 12.",Design,CyclomaticComplexity
4,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\BlockReadBenchmark.java,3,112,"The method 'run(String, BenchmarkBlocks, int[][], long[])' has a cyclomatic complexity of 12.",Design,CyclomaticComplexity
1,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\EvalBenchmark.java,3,10,A value of 33 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.elasticsearch.benchmark.compute.operator,dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\EvalBenchmark.java,3,107,The class 'EvalBenchmark' has a total cyclomatic complexity of 265 (highest 67).,Design,CyclomaticComplexity
