Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\AbstractContainerTester.java,3,48,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\AbstractIteratorTester.java,3,17,A value of 25 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\AbstractIteratorTester.java,3,53,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
3,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\AbstractIteratorTester.java,3,138,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
4,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\AbstractIteratorTester.java,3,385,"The method 'internalExecuteAndCompare(T, T, IteratorOperation)' has a cyclomatic complexity of 12.",Design,CyclomaticComplexity
1,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\AbstractMapTester.java,3,50,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\DerivedCollectionGenerators.java,3,17,A value of 58 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
1,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\FeatureSpecificTestSuiteBuilder.java,3,17,A value of 21 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\FeatureSpecificTestSuiteBuilder.java,3,61,"Possible God Class (WMC=50, ATFD=13, TCC=11.957%)",Design,GodClass
3,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\FeatureSpecificTestSuiteBuilder.java,3,62,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\Helpers.java,3,17,A value of 41 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\Helpers.java,3,53,"Possible God Class (WMC=56, ATFD=11, TCC=0.000%)",Design,GodClass
3,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\Helpers.java,3,53,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\MapInterfaceTest.java,3,53,"Possible God Class (WMC=222, ATFD=37, TCC=17.356%)",Design,GodClass
2,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\MapInterfaceTest.java,3,53,The class 'MapInterfaceTest' has a total cyclomatic complexity of 222 (highest 10).,Design,CyclomaticComplexity
3,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\MapInterfaceTest.java,3,54,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
4,com.google.common.collect.testing,dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\MapInterfaceTest.java,3,179,"The method 'assertInvariants(Map<K, V>)' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
