Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,example.domain,dataset\projects\junit5\documentation\src\main\java\example\domain\Person.java,3,63,The method 'equals(Object)' has a cyclomatic complexity of 10.,Design,CyclomaticComplexity
1,org.junit.api.tools,dataset\projects\junit5\documentation\src\tools\java\org\junit\api\tools\AbstractApiReportWriter.java,3,27,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.api.tools,dataset\projects\junit5\documentation\src\tools\java\org\junit\api\tools\Declaration.java,3,25,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.jupiter.api,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java,3,31,"Possible God Class (WMC=157, ATFD=33, TCC=0.000%)",Design,GodClass
2,org.junit.jupiter.api,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java,3,31,The class 'AssertArrayEquals' has a total cyclomatic complexity of 157 (highest 24).,Design,CyclomaticComplexity
3,org.junit.jupiter.api,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java,3,31,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
4,org.junit.jupiter.api,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java,3,445,"The method 'assertArrayElementsEqual(Object, Object, Deque<Integer>, Object)' has a cyclomatic complexity of 24.",Design,CyclomaticComplexity
1,org.junit.jupiter.api,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertEquals.java,3,28,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.jupiter.api,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,3,34,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.jupiter.api,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertLinesMatch.java,3,110,The method 'assertLinesMatchWithFastForward()' has a cyclomatic complexity of 15.,Design,CyclomaticComplexity
1,org.junit.jupiter.api,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertNotEquals.java,3,28,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.jupiter.api,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertionFailureBuilder.java,3,42,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.jupiter.api,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertionUtils.java,3,29,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.jupiter.api,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\Assertions.java,3,11,A value of 30 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.junit.jupiter.api,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\Assertions.java,3,96,The class 'Assertions' has a total cyclomatic complexity of 296 (highest 2).,Design,CyclomaticComplexity
3,org.junit.jupiter.api,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\Assertions.java,3,96,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.jupiter.api,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\Assumptions.java,3,53,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.jupiter.api.condition,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\condition\OS.java,3,114,The method 'parse(String)' has a cyclomatic complexity of 10.,Design,CyclomaticComplexity
1,org.junit.jupiter.api.util,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\util\DefaultLocaleExtension.java,3,28,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
2,org.junit.jupiter.api.util,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\util\DefaultLocaleExtension.java,3,79,The method 'createFromParts(DefaultLocale)' has a cyclomatic complexity of 11.,Design,CyclomaticComplexity
1,org.junit.jupiter.api.util,dataset\projects\junit5\junit-jupiter-api\src\main\java\org\junit\jupiter\api\util\DefaultTimeZoneExtension.java,3,28,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.jupiter.api,dataset\projects\junit5\junit-jupiter-api\src\testFixtures\java\org\junit\jupiter\api\AssertionTestUtils.java,3,25,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.jupiter.engine.config,dataset\projects\junit5\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\config\DefaultJupiterConfiguration.java,3,11,A value of 30 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
1,org.junit.jupiter.engine.descriptor,dataset\projects\junit5\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\descriptor\AbstractExtensionContext.java,3,11,A value of 27 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
1,org.junit.jupiter.engine.descriptor,dataset\projects\junit5\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\descriptor\ClassBasedTestDescriptor.java,3,11,A value of 35 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.junit.jupiter.engine.descriptor,dataset\projects\junit5\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\descriptor\ClassBasedTestDescriptor.java,3,89,"Possible God Class (WMC=72, ATFD=67, TCC=3.049%)",Design,GodClass
3,org.junit.jupiter.engine.descriptor,dataset\projects\junit5\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\descriptor\ClassBasedTestDescriptor.java,3,90,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
4,org.junit.jupiter.engine.descriptor,dataset\projects\junit5\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\descriptor\ClassBasedTestDescriptor.java,3,361,"The method 'invokeTestInstanceFactory(TestInstanceFactory, Object, ExtensionContextSupplier)' has a cyclomatic complexity of 11.",Design,CyclomaticComplexity
1,org.junit.jupiter.engine.descriptor,dataset\projects\junit5\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\descriptor\ClassTemplateTestDescriptor.java,3,11,A value of 26 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
1,org.junit.jupiter.engine.descriptor,dataset\projects\junit5\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\descriptor\JupiterTestDescriptor.java,3,11,A value of 27 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.junit.jupiter.engine.descriptor,dataset\projects\junit5\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\descriptor\JupiterTestDescriptor.java,3,65,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.jupiter.engine.descriptor,dataset\projects\junit5\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\descriptor\LifecycleMethodUtils.java,3,44,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.jupiter.engine.descriptor,dataset\projects\junit5\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\descriptor\TestFactoryTestDescriptor.java,3,11,A value of 26 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
1,org.junit.jupiter.engine.descriptor,dataset\projects\junit5\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\descriptor\TestMethodTestDescriptor.java,3,71,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.jupiter.engine.discovery,dataset\projects\junit5\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\discovery\ClassOrderingVisitor.java,3,38,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.jupiter.engine.discovery,dataset\projects\junit5\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\discovery\ClassSelectorResolver.java,3,11,A value of 32 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.junit.jupiter.engine.discovery,dataset\projects\junit5\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\discovery\ClassSelectorResolver.java,3,69,"Possible God Class (WMC=47, ATFD=35, TCC=17.391%)",Design,GodClass
