Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\ClientResponse.java,3,28,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\ClientUtils.java,3,17,A value of 25 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\ClientUtils.java,3,66,"The method 'parseAndValidateAddresses(List<String>, ClientDnsLookup)' has a cyclomatic complexity of 17.",Design,CyclomaticComplexity
3,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\ClientUtils.java,3,179,Avoid long parameter lists.,Design,ExcessiveParameterList
1,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\ClusterConnectionStates.java,3,39,"Possible God Class (WMC=56, ATFD=58, TCC=29.435%)",Design,GodClass
2,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\ClusterConnectionStates.java,3,39,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\FetchSessionHandler.java,3,18,A value of 21 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\FetchSessionHandler.java,3,60,"Possible God Class (WMC=52, ATFD=33, TCC=31.868%)",Design,GodClass
3,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\FetchSessionHandler.java,3,60,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
4,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\FetchSessionHandler.java,3,275,The method 'build()' has a cyclomatic complexity of 17.,Design,CyclomaticComplexity
5,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\FetchSessionHandler.java,3,527,"The method 'handleResponse(FetchResponse, short)' has a cyclomatic complexity of 17.",Design,CyclomaticComplexity
1,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\InFlightRequests.java,3,31,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\KafkaClient.java,3,29,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\Metadata.java,3,17,A value of 33 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\Metadata.java,3,67,"Possible God Class (WMC=99, ATFD=27, TCC=16.390%)",Design,GodClass
3,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\Metadata.java,3,67,The class 'Metadata' has a total cyclomatic complexity of 99 (highest 12).,Design,CyclomaticComplexity
4,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\Metadata.java,3,67,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
5,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\Metadata.java,3,381,"The method 'updatePartitionLeadership(Map<TopicPartition, LeaderIdAndEpoch>, List<Node>)' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
6,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\Metadata.java,3,486,"The method 'handleMetadataResponse(MetadataResponse, boolean, long)' has a cyclomatic complexity of 12.",Design,CyclomaticComplexity
1,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\MetadataSnapshot.java,3,17,A value of 24 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\MetadataSnapshot.java,3,47,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\NetworkClient.java,3,17,A value of 61 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.apache.kafka.clients,dataset\projects\kafka\clients\src\main\java\org\apache\kafka\clients\NetworkClient.java,3,78,The class 'NetworkClient' has a total cyclomatic complexity of 164 (highest 17).,Design,CyclomaticComplexity
