Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.mockito,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\AdditionalAnswers.java,3,5,A value of 22 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.mockito,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\AdditionalAnswers.java,3,42,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\AdditionalMatchers.java,3,41,"Possible God Class (WMC=70, ATFD=28, TCC=0.000%)",Design,GodClass
2,org.mockito,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\AdditionalMatchers.java,3,41,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\ArgumentMatchers.java,3,5,A value of 32 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.mockito,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\ArgumentMatchers.java,3,115,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\BDDMockito.java,3,82,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\MockSettings.java,3,50,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\Mockito.java,3,5,A value of 49 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.mockito,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\Mockito.java,3,1872,"Possible God Class (WMC=92, ATFD=14, TCC=12.842%)",Design,GodClass
3,org.mockito,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\Mockito.java,3,1872,The class 'Mockito' has a total cyclomatic complexity of 92 (highest 4).,Design,CyclomaticComplexity
4,org.mockito,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\Mockito.java,3,1872,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito.hamcrest,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\hamcrest\MockitoHamcrest.java,3,66,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito.internal,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\InOrderImpl.java,3,52,"The method 'verify(T, VerificationMode)' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
1,org.mockito.internal,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\MockitoCore.java,3,5,A value of 42 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.mockito.internal,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\MockitoCore.java,3,71,"Possible God Class (WMC=64, ATFD=16, TCC=0.000%)",Design,GodClass
3,org.mockito.internal,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\MockitoCore.java,3,71,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito.internal,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\PremainAttachAccess.java,3,20,The method 'getInstrumentation()' has a cyclomatic complexity of 10.,Design,CyclomaticComplexity
1,org.mockito.internal.configuration,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\configuration\MockAnnotationProcessor.java,3,33,"The method 'processAnnotationForMock(Mock, Class<?>, Supplier<Type>, String)' has a cyclomatic complexity of 11.",Design,CyclomaticComplexity
