Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AbstractByteBuf.java,3,47,"Possible God Class (WMC=294, ATFD=7, TCC=7.677%)",Design,GodClass
2,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AbstractByteBuf.java,3,47,The class 'AbstractByteBuf' has a total cyclomatic complexity of 294 (highest 7).,Design,CyclomaticComplexity
3,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AbstractByteBuf.java,3,47,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AbstractByteBufAllocator.java,3,30,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AbstractDerivedByteBuf.java,3,28,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AbstractPooledDerivedByteBuf.java,3,29,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
2,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AbstractPooledDerivedByteBuf.java,3,167,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
3,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AbstractPooledDerivedByteBuf.java,3,248,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AbstractUnpooledSlicedByteBuf.java,3,32,"Possible God Class (WMC=80, ATFD=18, TCC=0.235%)",Design,GodClass
2,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AbstractUnpooledSlicedByteBuf.java,3,32,The class 'AbstractUnpooledSlicedByteBuf' has a total cyclomatic complexity of 80 (highest 3).,Design,CyclomaticComplexity
3,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AbstractUnpooledSlicedByteBuf.java,3,32,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AbstractUnsafeSwappedByteBuf.java,3,27,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,16,A value of 53 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,85,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
3,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,379,"The method 'allocate(int, int, Thread, AdaptiveByteBuf)' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
4,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,973,The method 'runPurgeScan()' has a cyclomatic complexity of 11.,Design,CyclomaticComplexity
5,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,1044,The method 'pollChunk(int)' has a cyclomatic complexity of 12.,Design,CyclomaticComplexity
6,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,1086,The method 'offerChunk(Chunk)' has a cyclomatic complexity of 10.,Design,CyclomaticComplexity
7,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,1395,"The method 'allocate(int, int, AdaptiveByteBuf, boolean)' has a cyclomatic complexity of 17.",Design,CyclomaticComplexity
8,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,1567,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
9,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,1771,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
10,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,1935,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
11,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,2123,"Possible God Class (WMC=99, ATFD=19, TCC=1.997%)",Design,GodClass
12,io.netty.buffer,dataset\projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,2123,The class 'AdaptiveByteBuf' has a total cyclomatic complexity of 99 (highest 7).,Design,CyclomaticComplexity
