Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.apache.pulsar.tests,dataset\projects\pulsar\buildtools\src\main\java\org\apache\pulsar\tests\ExtendedNettyLeakDetector.java,3,39,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.pulsar.tests,dataset\projects\pulsar\buildtools\src\main\java\org\apache\pulsar\tests\FailFastNotifier.java,3,116,"The method 'beforeInvocation(IInvokedMethod, ITestResult)' has a cyclomatic complexity of 11.",Design,CyclomaticComplexity
1,org.apache.pulsar.tests,dataset\projects\pulsar\buildtools\src\main\java\org\apache\pulsar\tests\ThreadLeakDetectorListener.java,3,51,"Possible God Class (WMC=58, ATFD=16, TCC=4.444%)",Design,GodClass
2,org.apache.pulsar.tests,dataset\projects\pulsar\buildtools\src\main\java\org\apache\pulsar\tests\ThreadLeakDetectorListener.java,3,129,The method 'detectLeakedThreads(List<ITestClass>)' has a cyclomatic complexity of 13.,Design,CyclomaticComplexity
3,org.apache.pulsar.tests,dataset\projects\pulsar\buildtools\src\main\java\org\apache\pulsar\tests\ThreadLeakDetectorListener.java,3,185,"The method 'compareThreads(Set<ThreadKey>, List<ITestClass>, boolean, MutableBoolean, PrintWriter)' has a cyclomatic complexity of 15.",Design,CyclomaticComplexity
4,org.apache.pulsar.tests,dataset\projects\pulsar\buildtools\src\main\java\org\apache\pulsar\tests\ThreadLeakDetectorListener.java,3,230,The method 'shouldSkipThread(Thread)' has a cyclomatic complexity of 20.,Design,CyclomaticComplexity
1,org.apache.pulsar.metrics.prometheus.zookeeper,dataset\projects\pulsar\jetty-upgrade\zookeeper-prometheus-metrics\src\main\java\org\apache\pulsar\metrics\prometheus\zookeeper\PrometheusMetricsProvider.java,3,19,A value of 41 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.apache.pulsar.metrics.prometheus.zookeeper,dataset\projects\pulsar\jetty-upgrade\zookeeper-prometheus-metrics\src\main\java\org\apache\pulsar\metrics\prometheus\zookeeper\PrometheusMetricsProvider.java,3,69,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.zookeeper.server.admin,dataset\projects\pulsar\jetty-upgrade\zookeeper-with-patched-admin\src\main\java\org\apache\zookeeper\server\admin\Commands.java,3,19,A value of 31 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.apache.zookeeper.server.admin,dataset\projects\pulsar\jetty-upgrade\zookeeper-with-patched-admin\src\main\java\org\apache\zookeeper\server\admin\Commands.java,3,162,"The method 'runCommand(String, ZooKeeperServer, Map<String, String>, InputStream, String, HttpServletRequest, boolean)' has a cyclomatic complexity of 11.",Design,CyclomaticComplexity
3,org.apache.zookeeper.server.admin,dataset\projects\pulsar\jetty-upgrade\zookeeper-with-patched-admin\src\main\java\org\apache\zookeeper\server\admin\Commands.java,3,206,"The method 'handleAuthentication(HttpServletRequest, String)' has a cyclomatic complexity of 11.",Design,CyclomaticComplexity
1,org.apache.zookeeper.server.admin,dataset\projects\pulsar\jetty-upgrade\zookeeper-with-patched-admin\src\main\java\org\apache\zookeeper\server\admin\JettyAdminServer.java,3,19,A value of 22 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
1,org.apache.bookkeeper.mledger,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\ManagedCursor.java,3,47,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.bookkeeper.mledger,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\ManagedLedger.java,3,66,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.bookkeeper.mledger,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\ManagedLedgerConfig.java,3,46,The class 'ManagedLedgerConfig' has a total cyclomatic complexity of 94 (highest 1).,Design,CyclomaticComplexity
2,org.apache.bookkeeper.mledger,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\ManagedLedgerConfig.java,3,46,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
3,org.apache.bookkeeper.mledger,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\ManagedLedgerConfig.java,3,46,Too many fields,Design,TooManyFields
1,org.apache.bookkeeper.mledger,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\ManagedLedgerFactory.java,3,40,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.bookkeeper.mledger,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\ManagedLedgerFactoryConfig.java,3,32,Too many fields,Design,TooManyFields
1,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ActiveManagedCursorContainerImpl.java,3,51,"Possible God Class (WMC=134, ATFD=234, TCC=27.667%)",Design,GodClass
2,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ActiveManagedCursorContainerImpl.java,3,51,The class 'ActiveManagedCursorContainerImpl' has a total cyclomatic complexity of 134 (highest 19).,Design,CyclomaticComplexity
3,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ActiveManagedCursorContainerImpl.java,3,51,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
4,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ActiveManagedCursorContainerImpl.java,3,105,"The method 'add(ManagedCursor, Position)' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
5,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ActiveManagedCursorContainerImpl.java,3,149,The method 'insertNodeIntoList(Node)' has a cyclomatic complexity of 11.,Design,CyclomaticComplexity
6,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ActiveManagedCursorContainerImpl.java,3,464,"The method 'moveNodeToNewPosition(Node, Position, Position)' has a cyclomatic complexity of 19.",Design,CyclomaticComplexity
7,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ActiveManagedCursorContainerImpl.java,3,786,The method 'checkOrderingAndNumberOfCursorsState()' has a cyclomatic complexity of 12.,Design,CyclomaticComplexity
1,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ActiveManagedCursorContainerNavigableSetImpl.java,3,42,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\EntryCountEstimator.java,3,71,"The method 'internalEstimateEntryCountByBytesSize(int, long, Position, NavigableMap<Long, LedgerInfo>, Long, long, long)' has a cyclomatic complexity of 26.",Design,CyclomaticComplexity
1,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\EntryImpl.java,3,44,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\LedgerOffloaderStatsImpl.java,3,40,"Possible God Class (WMC=47, ATFD=11, TCC=23.333%)",Design,GodClass
2,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\LedgerOffloaderStatsImpl.java,3,40,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedCursorContainerImpl.java,3,43,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedCursorImpl.java,3,19,A value of 110 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedCursorImpl.java,3,121,"Possible God Class (WMC=457, ATFD=436, TCC=23.221%)",Design,GodClass
3,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedCursorImpl.java,3,121,The class 'ManagedCursorImpl' has a total cyclomatic complexity of 457 (highest 24).,Design,CyclomaticComplexity
4,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedCursorImpl.java,3,121,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
5,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedCursorImpl.java,3,121,Too many fields,Design,TooManyFields
6,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedCursorImpl.java,3,1518,"The method 'asyncFindNewestMatching(FindPositionConstraint, Predicate<Entry>, Position, Position, FindEntryCallback, Object, boolean)' has a cyclomatic complexity of 12.",Design,CyclomaticComplexity
7,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedCursorImpl.java,3,2214,The method 'setAcknowledgedPosition(Position)' has a cyclomatic complexity of 10.,Design,CyclomaticComplexity
8,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedCursorImpl.java,3,2610,"The method 'asyncDelete(Iterable<Position>, DeleteCallback, Object)' has a cyclomatic complexity of 24.",Design,CyclomaticComplexity
1,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerFactoryImpl.java,3,19,A value of 82 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerFactoryImpl.java,3,117,"Possible God Class (WMC=107, ATFD=169, TCC=9.413%)",Design,GodClass
3,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerFactoryImpl.java,3,117,The class 'ManagedLedgerFactoryImpl' has a total cyclomatic complexity of 107 (highest 9).,Design,CyclomaticComplexity
4,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerFactoryImpl.java,3,117,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerImpl.java,3,19,A value of 150 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerImpl.java,3,156,"Possible God Class (WMC=671, ATFD=669, TCC=17.124%)",Design,GodClass
3,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerImpl.java,3,156,The class 'ManagedLedgerImpl' has a total cyclomatic complexity of 671 (highest 26).,Design,CyclomaticComplexity
4,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerImpl.java,3,156,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
5,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerImpl.java,3,156,Too many fields,Design,TooManyFields
6,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerImpl.java,3,862,The method 'internalAsyncAddEntry(OpAddEntry)' has a cyclomatic complexity of 13.,Design,CyclomaticComplexity
7,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerImpl.java,3,2095,The method 'asyncReadEntries(OpReadEntry)' has a cyclomatic complexity of 10.,Design,CyclomaticComplexity
8,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerImpl.java,3,2347,"The method 'internalReadFromLedger(ReadHandle, OpReadEntry)' has a cyclomatic complexity of 14.",Design,CyclomaticComplexity
9,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerImpl.java,3,2886,"The method 'maybeOffload(long, long, CompletableFuture<Position>, OffloadRequestSource)' has a cyclomatic complexity of 14.",Design,CyclomaticComplexity
10,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerImpl.java,3,3059,"The method 'internalTrimLedgers(boolean, CompletableFuture<?>)' has a cyclomatic complexity of 26.",Design,CyclomaticComplexity
11,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerImpl.java,3,3642,"The method 'asyncOffloadPrefix(Position, OffloadCallback, Object)' has a cyclomatic complexity of 14.",Design,CyclomaticComplexity
12,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerImpl.java,3,3995,"The method 'comparePositions(Position, Position)' has a cyclomatic complexity of 12.",Design,CyclomaticComplexity
13,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerImpl.java,3,4021,The method 'getNumberOfEntries(Range<Position>)' has a cyclomatic complexity of 24.,Design,CyclomaticComplexity
14,org.apache.bookkeeper.mledger.impl,dataset\projects\pulsar\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerImpl.java,3,4114,"The method 'getPositionAfterN(Position, long, PositionBound)' has a cyclomatic complexity of 12.",Design,CyclomaticComplexity
