project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_ExcessiveParameterList,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
guava,collect/testing/features/FeatureEnum,FeatureEnum,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/guava/android/guava-testlib/test/com/google/common/collect/testing/features/FeatureEnumTest.java,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guava,collect/testing/features/erRequirements,erRequirements,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/features/TesterRequirements.java,0,0,1,4,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guava,collect/testing/google/AbstractMultimapTester,AbstractMultimapTester,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/AbstractMultimapTester.java,,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guava,collect/testing/google/AbstractMultisetSetCountTester,AbstractMultisetSetCountTester,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/AbstractMultisetSetCountTester.java,,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guava,collect/testing/google/BiMapGenerator,BiMapGenerator,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestBiMapGenerator.java,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guava,collect/testing/google/DerivedGoogleCollectionGenerators,DerivedGoogleCollectionGenerators,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/DerivedGoogleCollectionGenerators.java,,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guava,collect/testing/google/EnumMultisetGenerator,EnumMultisetGenerator,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestEnumMultisetGenerator.java,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guava,collect/testing/google/MapGenerators,MapGenerators,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/MapGenerators.java,,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guava,collect/testing/google/MultimapClearTester,MultimapClearTester,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/MultimapClearTester.java,,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guava,collect/testing/google/MultimapGenerator,MultimapGenerator,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestMultimapGenerator.java,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
