project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_ExcessiveParameterList,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
hibernate-orm,DefaultPackage,DefaultPackage,,C:/Users/largu/Documents/Vietnam/dataset/projects/hibernate-orm/tooling/metamodel-generator/src/test/java/DefaultPackageTest.java,0,0,1,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hibernate-orm,NoPackage,NoPackage,,C:/Users/largu/Documents/Vietnam/dataset/projects/hibernate-orm/hibernate-core/src/test/java/NoPackageTest.java,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,data/superdao/generic/SuperRepo,SuperRepo,,C:/Users/largu/Documents/Vietnam/dataset/projects/hibernate-orm/tooling/metamodel-generator/src/jakartaData/java/org/hibernate/processor/test/data/superdao/generic/SuperRepoTest.java,0,0,1,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hibernate-orm,hibernate/action/queue/ActionQueueBenchmark,ActionQueueBenchmark,../dataset/projects/hibernate-orm/hibernate-core/src/jmh/java/org/hibernate/action/queue/ActionQueueBenchmark.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,hibernate/action/queue/ActionQueueThroughputBenchmark,ActionQueueThroughputBenchmark,../dataset/projects/hibernate-orm/hibernate-core/src/jmh/java/org/hibernate/action/queue/ActionQueueThroughputBenchmark.java,,1,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,hibernate/action/queue/CollectionBundlingBenchmark,CollectionBundlingBenchmark,../dataset/projects/hibernate-orm/hibernate-core/src/jmh/java/org/hibernate/action/queue/CollectionBundlingBenchmark.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,hibernate/action/queue/IndexedCollectionBenchmark,IndexedCollectionBenchmark,../dataset/projects/hibernate-orm/hibernate-core/src/jmh/java/org/hibernate/action/queue/IndexedCollectionBenchmark.java,,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,hibernate/envers/demo/Address,Address,../dataset/projects/hibernate-orm/hibernate-envers/src/demo/java/org/hibernate/envers/demo/Address.java,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,hibernate/envers/demo/Console,Console,,C:/Users/largu/Documents/Vietnam/dataset/projects/hibernate-orm/hibernate-envers/src/demo/java/org/hibernate/envers/demo/TestConsole.java,0,0,1,4,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,hibernate/envers/demo/Person,Person,../dataset/projects/hibernate-orm/hibernate-envers/src/demo/java/org/hibernate/envers/demo/Person.java,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,hibernate/envers/demo/TestConsole,TestConsole,../dataset/projects/hibernate-orm/hibernate-envers/src/demo/java/org/hibernate/envers/demo/TestConsole.java,,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,in/from/Entity,Entity,,C:/Users/largu/Documents/Vietnam/dataset/projects/hibernate-orm/hibernate-core/src/test/java/in/from/TestEntity.java,0,0,1,4,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,org/hibernate/Cache,Cache,../dataset/projects/hibernate-orm/hibernate-core/src/main/java/org/hibernate/Cache.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,org/hibernate/CacheMode,CacheMode,../dataset/projects/hibernate-orm/hibernate-core/src/main/java/org/hibernate/CacheMode.java,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,org/hibernate/Hibernate,Hibernate,../dataset/projects/hibernate-orm/hibernate-core/src/main/java/org/hibernate/Hibernate.java,,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
