project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_ExcessiveParameterList,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
kafka,apache/kafka/clients/MockClient,MockClient,dataset/projects/kafka/clients/src/testFixtures/java/org/apache/kafka/clients/MockClient.java,,1,5,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,apache/kafka/metadata/RecordTestUtils,RecordTestUtils,dataset/projects/kafka/metadata/src/testFixtures/java/org/apache/kafka/metadata/RecordTestUtils.java,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,apache/kafka/raft/MockLog,MockLog,dataset/projects/kafka/raft/src/testFixtures/java/org/apache/kafka/raft/MockLog.java,,1,6,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,apache/kafka/raft/RaftClientTestContext,RaftClientTestContext,dataset/projects/kafka/raft/src/testFixtures/java/org/apache/kafka/raft/RaftClientTestContext.java,,1,8,0,0,1,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,apache/kafka/test/Condition,Condition,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/clients/src/testFixtures/java/org/apache/kafka/test/TestCondition.java,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,apache/kafka/test/SslUtils,SslUtils,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/clients/src/testFixtures/java/org/apache/kafka/test/TestSslUtils.java,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,apache/kafka/test/Utils,Utils,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/clients/src/testFixtures/java/org/apache/kafka/test/TestUtils.java,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,common/security/authenticator/DigestLoginModule,DigestLoginModule,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/clients/src/testFixtures/java/org/apache/kafka/common/security/authenticator/TestDigestLoginModule.java,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,common/security/authenticator/JaasConfig,JaasConfig,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/clients/src/testFixtures/java/org/apache/kafka/common/security/authenticator/TestJaasConfig.java,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,connect/runtime/isolation/Plugins,Plugins,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/connect/runtime/src/testFixtures/java/org/apache/kafka/connect/runtime/isolation/TestPlugins.java,0,0,1,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kafka,connect/runtime/isolation/TestPlugins,TestPlugins,dataset/projects/kafka/connect/runtime/src/testFixtures/java/org/apache/kafka/connect/runtime/isolation/TestPlugins.java,,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,connect/util/clusters/ConnectAssertions,ConnectAssertions,dataset/projects/kafka/connect/runtime/src/testFixtures/java/org/apache/kafka/connect/util/clusters/ConnectAssertions.java,,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
