project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
mockito,java/org/mockitousage/IMethods,IMethods,dataset/projects/mockito/mockito-core/src/testFixtures/java/org/mockitousage/IMethods.java,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,java/org/mockitousage/MethodsImpl,MethodsImpl,dataset/projects/mockito/mockito-core/src/testFixtures/java/org/mockitousage/MethodsImpl.java,,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,java/org/mockitoutil/Base,Base,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/testFixtures/java/org/mockitoutil/TestBase.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,java/org/mockitoutil/Base,Base,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/testFixtures/java/org/mockitoutil/TestBaseTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,java/org/mockitoutil/ClassLoaders,ClassLoaders,dataset/projects/mockito/mockito-core/src/testFixtures/java/org/mockitoutil/ClassLoaders.java,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/testFixtures/java/org/mockitoutil/ClassLoadersTest.java,1,3,1,7,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
mockito,java/org/mockitoutil/ClassLoadersTest,ClassLoadersTest,dataset/projects/mockito/mockito-core/src/testFixtures/java/org/mockitoutil/ClassLoadersTest.java,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,java/org/mockitoutil/SafeJUnitRule,SafeJUnitRule,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/testFixtures/java/org/mockitoutil/SafeJUnitRuleTest.java,0,0,1,6,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mockito,java/org/mockitoutil/TestBase,TestBase,dataset/projects/mockito/mockito-core/src/testFixtures/java/org/mockitoutil/TestBase.java,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,mockito/internal/invocation/InvocationBuilder,InvocationBuilder,dataset/projects/mockito/mockito-core/src/testFixtures/java/org/mockito/internal/invocation/InvocationBuilder.java,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,mockito/osgitest/testbundle/MockClassInOtherBundle,MockClassInOtherBundle,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-integration-tests/osgi-tests/src/testBundle/java/org/mockito/osgitest/testbundle/MockClassInOtherBundleTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
