project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_ExcessiveParameterList,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
netty,io/netty/bootstrap/AbstractBootstrap,AbstractBootstrap,dataset/projects/netty/transport/src/main/java/io/netty/bootstrap/AbstractBootstrap.java,,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netty,io/netty/bootstrap/Bootstrap,Bootstrap,dataset/projects/netty/transport/src/main/java/io/netty/bootstrap/Bootstrap.java,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/netty/transport/src/test/java/io/netty/bootstrap/BootstrapTest.java,1,1,1,10,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
netty,io/netty/bootstrap/Channel,Channel,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/netty/transport/src/test/java/io/netty/bootstrap/TestChannel.java,0,0,1,4,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netty,io/netty/bootstrap/ServerBootstrap,ServerBootstrap,dataset/projects/netty/transport/src/main/java/io/netty/bootstrap/ServerBootstrap.java,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/netty/transport/src/test/java/io/netty/bootstrap/ServerBootstrapTest.java,1,1,1,6,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
netty,io/netty/buffer/AbstractAdaptiveByteBuf,AbstractAdaptiveByteBuf,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AbstractAdaptiveByteBufTest.java,0,0,1,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
netty,io/netty/buffer/AbstractByteBuf,AbstractByteBuf,dataset/projects/netty/buffer/src/main/java/io/netty/buffer/AbstractByteBuf.java,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AbstractByteBufTest.java,1,3,1,13,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0
netty,io/netty/buffer/AbstractByteBufAllocator,AbstractByteBufAllocator,dataset/projects/netty/buffer/src/main/java/io/netty/buffer/AbstractByteBufAllocator.java,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AbstractByteBufAllocatorTest.java,1,1,1,11,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0
netty,io/netty/buffer/AbstractCompositeByteBuf,AbstractCompositeByteBuf,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AbstractCompositeByteBufTest.java,0,0,1,12,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0
netty,io/netty/buffer/AbstractDerivedByteBuf,AbstractDerivedByteBuf,dataset/projects/netty/buffer/src/main/java/io/netty/buffer/AbstractDerivedByteBuf.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netty,io/netty/buffer/AbstractPooledByteBuf,AbstractPooledByteBuf,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AbstractPooledByteBufTest.java,0,0,1,5,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
