project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CyclomaticComplexity,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
okhttp,com/squareup/okhttp3/maventest/App,App,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/okhttp/maven-tests/src/test/java/com/squareup/okhttp3/maventest/AppTest.java,0,0,1,5,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
okhttp,java/okhttp/regression/IssueReproduction,IssueReproduction,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/okhttp/regression-test/src/androidTest/java/okhttp/regression/IssueReproductionTest.java,0,0,1,5,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
okhttp,java/okhttp/regression/LetsEncrypt,LetsEncrypt,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/okhttp/regression-test/src/androidTest/java/okhttp/regression/LetsEncryptTest.java,0,0,1,6,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
okhttp,jvmTest/java/okhttp3/CallJava,CallJava,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/okhttp/okhttp/src/jvmTest/java/okhttp3/CallJavaTest.java,0,0,1,5,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
okhttp,okhttp/regression/compare/OkHttpClient,OkHttpClient,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/okhttp/regression-test/src/androidTest/java/okhttp/regression/compare/OkHttpClientTest.java,0,0,1,6,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
okhttp,okhttp3/modules/test/JavaModule,JavaModule,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/okhttp/module-tests/src/test/java/okhttp3/modules/test/JavaModuleTest.java,0,0,1,7,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
okhttp,okhttp3/recipes/PrintEvents,PrintEvents,dataset/projects/okhttp/samples/guide/src/main/java/okhttp3/recipes/PrintEvents.java,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
okhttp,okhttp3/recipes/PrintEventsNonConcurrent,PrintEventsNonConcurrent,dataset/projects/okhttp/samples/guide/src/main/java/okhttp3/recipes/PrintEventsNonConcurrent.java,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
okhttp,okhttp3/sample/Crawler,Crawler,dataset/projects/okhttp/samples/crawler/src/main/java/okhttp3/sample/Crawler.java,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
okhttp,okhttp3/tls/CertificatesJava,CertificatesJava,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/okhttp/okhttp-tls/src/test/java/okhttp3/tls/CertificatesJavaTest.java,0,0,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
okhttp,okhttp3/zstd/ZstdInterceptorJava,ZstdInterceptorJava,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/okhttp/okhttp-zstd/src/test/java/okhttp3/zstd/ZstdInterceptorJavaTest.java,0,0,1,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
