project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_ExcessiveParameterList,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
pulsar,org/apache/bookkeeper/client/PulsarMockBookKeeper,PulsarMockBookKeeper,dataset/projects/pulsar/testmocks/src/main/java/org/apache/bookkeeper/client/PulsarMockBookKeeper.java,,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar,org/apache/bookkeeper/client/PulsarMockLedgerHandle,PulsarMockLedgerHandle,dataset/projects/pulsar/testmocks/src/main/java/org/apache/bookkeeper/client/PulsarMockLedgerHandle.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/ManagedCursor,ManagedCursor,dataset/projects/pulsar/managed-ledger/src/main/java/org/apache/bookkeeper/mledger/ManagedCursor.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/ManagedLedger,ManagedLedger,dataset/projects/pulsar/managed-ledger/src/main/java/org/apache/bookkeeper/mledger/ManagedLedger.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/ManagedLedgerConfig,ManagedLedgerConfig,dataset/projects/pulsar/managed-ledger/src/main/java/org/apache/bookkeeper/mledger/ManagedLedgerConfig.java,,1,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/ManagedLedgerFactory,ManagedLedgerFactory,dataset/projects/pulsar/managed-ledger/src/main/java/org/apache/bookkeeper/mledger/ManagedLedgerFactory.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/ManagedLedgerFactoryConfig,ManagedLedgerFactoryConfig,dataset/projects/pulsar/managed-ledger/src/main/java/org/apache/bookkeeper/mledger/ManagedLedgerFactoryConfig.java,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/ManagedLedgerReplayTask,ManagedLedgerReplayTask,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/ManagedLedgerReplayTaskTest.java,0,0,1,8,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
pulsar,org/apache/bookkeeper/mledger/SimpleBookKeeper,SimpleBookKeeper,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/SimpleBookKeeperTest.java,0,0,1,6,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/impl/ActiveManagedCursorContainerImpl,ActiveManagedCursorContainerImpl,dataset/projects/pulsar/managed-ledger/src/main/java/org/apache/bookkeeper/mledger/impl/ActiveManagedCursorContainerImpl.java,,1,7,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/impl/ActiveManagedCursorContainerNavigableSetImpl,ActiveManagedCursorContainerNavigableSetImpl,dataset/projects/pulsar/managed-ledger/src/main/java/org/apache/bookkeeper/mledger/impl/ActiveManagedCursorContainerNavigableSetImpl.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/impl/AutomaticOffloadTriggerController,AutomaticOffloadTriggerController,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/AutomaticOffloadTriggerControllerTest.java,0,0,1,7,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/impl/ConsumerUnsubscribeIntegration,ConsumerUnsubscribeIntegration,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/pulsar-broker/src/test/java/org/apache/bookkeeper/mledger/impl/ConsumerUnsubscribeIntegrationTest.java,0,0,1,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/impl/CustomizedManagedLedger,CustomizedManagedLedger,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/pulsar-broker/src/test/java/org/apache/bookkeeper/mledger/impl/CustomizedManagedLedgerTest.java,0,0,1,8,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
pulsar,org/apache/bookkeeper/mledger/impl/EntryCache,EntryCache,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/EntryCacheTest.java,0,0,1,8,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
pulsar,org/apache/bookkeeper/mledger/impl/EntryCacheManager,EntryCacheManager,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/EntryCacheManagerTest.java,0,0,1,9,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
pulsar,org/apache/bookkeeper/mledger/impl/EntryCountEstimator,EntryCountEstimator,dataset/projects/pulsar/managed-ledger/src/main/java/org/apache/bookkeeper/mledger/impl/EntryCountEstimator.java,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/EntryCountEstimatorTest.java,1,1,1,4,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pulsar,org/apache/bookkeeper/mledger/impl/EntryImpl,EntryImpl,dataset/projects/pulsar/managed-ledger/src/main/java/org/apache/bookkeeper/mledger/impl/EntryImpl.java,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/EntryImplTest.java,1,1,1,5,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pulsar,org/apache/bookkeeper/mledger/impl/InflightReadsLimiterIntegration,InflightReadsLimiterIntegration,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/InflightReadsLimiterIntegrationTest.java,0,0,1,9,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
pulsar,org/apache/bookkeeper/mledger/impl/LedgerOffloaderStatsImpl,LedgerOffloaderStatsImpl,dataset/projects/pulsar/managed-ledger/src/main/java/org/apache/bookkeeper/mledger/impl/LedgerOffloaderStatsImpl.java,,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/impl/ManagedCursor,ManagedCursor,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/ManagedCursorTest.java,0,0,1,12,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0
pulsar,org/apache/bookkeeper/mledger/impl/ManagedCursorConcurrency,ManagedCursorConcurrency,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/ManagedCursorConcurrencyTest.java,0,0,1,7,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/impl/ManagedCursorContainer,ManagedCursorContainer,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/ManagedCursorContainerTest.java,0,0,1,9,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
pulsar,org/apache/bookkeeper/mledger/impl/ManagedCursorContainerImpl,ManagedCursorContainerImpl,dataset/projects/pulsar/managed-ledger/src/main/java/org/apache/bookkeeper/mledger/impl/ManagedCursorContainerImpl.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/impl/ManagedCursorImpl,ManagedCursorImpl,dataset/projects/pulsar/managed-ledger/src/main/java/org/apache/bookkeeper/mledger/impl/ManagedCursorImpl.java,,1,8,0,0,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/impl/ManagedCursorIndividualDeletedMessages,ManagedCursorIndividualDeletedMessages,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/ManagedCursorIndividualDeletedMessagesTest.java,0,0,1,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pulsar,org/apache/bookkeeper/mledger/impl/ManagedCursorInfoMetadata,ManagedCursorInfoMetadata,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/ManagedCursorInfoMetadataTest.java,0,0,1,6,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulsar,org/apache/bookkeeper/mledger/impl/ManagedCursorListAck,ManagedCursorListAck,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/ManagedCursorListAckTest.java,0,0,1,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pulsar,org/apache/bookkeeper/mledger/impl/ManagedCursorProperties,ManagedCursorProperties,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/ManagedCursorPropertiesTest.java,0,0,1,7,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pulsar,org/apache/bookkeeper/mledger/impl/ManagedLedger,ManagedLedger,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/ManagedLedgerTest.java,0,0,1,13,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0
pulsar,org/apache/bookkeeper/mledger/impl/ManagedLedgerBk,ManagedLedgerBk,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/ManagedLedgerBkTest.java,0,0,1,13,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0
pulsar,org/apache/bookkeeper/mledger/impl/ManagedLedgerErrors,ManagedLedgerErrors,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/pulsar/managed-ledger/src/test/java/org/apache/bookkeeper/mledger/impl/ManagedLedgerErrorsTest.java,0,0,1,9,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
