project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
resilience4j,github/resilience4j/core/MetricsBenchmark,MetricsBenchmark,../dataset/projects/resilience4j/resilience4j-core/src/jmh/java/io/github/resilience4j/core/MetricsBenchmark.java,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/AbstractSubscriber,AbstractSubscriber,../dataset/projects/resilience4j/resilience4j-rxjava2/src/main/java/io/github/resilience4j/AbstractSubscriber.java,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/SchedulerExtension,SchedulerExtension,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-rxjava2/src/test/java/io/github/resilience4j/TestSchedulerExtension.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/bulkhead/Bulkhead,Bulkhead,../dataset/projects/resilience4j/resilience4j-bulkhead/src/main/java/io/github/resilience4j/bulkhead/Bulkhead.java,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/BulkheadTest.java,1,1,1,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/bulkhead/BulkheadConfig,BulkheadConfig,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/BulkheadConfigTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
resilience4j,io/github/resilience4j/bulkhead/BulkheadEventPublisher,BulkheadEventPublisher,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/BulkheadEventPublisherTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/bulkhead/BulkheadFuture,BulkheadFuture,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/BulkheadFutureTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/bulkhead/BulkheadRegistry,BulkheadRegistry,../dataset/projects/resilience4j/resilience4j-bulkhead/src/main/java/io/github/resilience4j/bulkhead/BulkheadRegistry.java,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/BulkheadRegistryTest.java,1,1,1,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/bulkhead/ThreadPoolBulkhead,ThreadPoolBulkhead,../dataset/projects/resilience4j/resilience4j-bulkhead/src/main/java/io/github/resilience4j/bulkhead/ThreadPoolBulkhead.java,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/ThreadPoolBulkheadTest.java,1,1,1,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/bulkhead/ThreadPoolBulkheadConfig,ThreadPoolBulkheadConfig,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/ThreadPoolBulkheadConfigTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
