project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
spring-boot,activemq/docker/compose/ActiveMQClassicDockerComposeConnectionDetailsFactoryIntegration,ActiveMQClassicDockerComposeConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-activemq/src/dockerTest/java/org/springframework/boot/activemq/docker/compose/ActiveMQClassicDockerComposeConnectionDetailsFactoryIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,activemq/docker/compose/ActiveMQDockerComposeConnectionDetailsFactoryIntegration,ActiveMQDockerComposeConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-activemq/src/dockerTest/java/org/springframework/boot/activemq/docker/compose/ActiveMQDockerComposeConnectionDetailsFactoryIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,activemq/docker/compose/ActiveMQSymptomaDockerComposeConnectionDetailsFactoryIntegration,ActiveMQSymptomaDockerComposeConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-activemq/src/dockerTest/java/org/springframework/boot/activemq/docker/compose/ActiveMQSymptomaDockerComposeConnectionDetailsFactoryIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,actuate/autoconfigure/integrationtest/AbstractHealthEndpointAdditionalPathIntegration,AbstractHealthEndpointAdditionalPathIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-actuator-autoconfigure/src/testFixtures/java/org/springframework/boot/actuate/autoconfigure/integrationtest/AbstractHealthEndpointAdditionalPathIntegrationTests.java,0,0,1,5,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring-boot,amqp/docker/compose/RabbitAndRabbitStreamDockerComposeConnectionDetailsFactoryIntegration,RabbitAndRabbitStreamDockerComposeConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-amqp/src/dockerTest/java/org/springframework/boot/amqp/docker/compose/RabbitAndRabbitStreamDockerComposeConnectionDetailsFactoryIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,amqp/docker/compose/RabbitDockerComposeConnectionDetailsFactoryIntegration,RabbitDockerComposeConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-amqp/src/dockerTest/java/org/springframework/boot/amqp/docker/compose/RabbitDockerComposeConnectionDetailsFactoryIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,amqp/docker/compose/RabbitStreamDockerComposeConnectionDetailsFactoryIntegration,RabbitStreamDockerComposeConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-amqp/src/dockerTest/java/org/springframework/boot/amqp/docker/compose/RabbitStreamDockerComposeConnectionDetailsFactoryIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,amqp/docker/compose/SingleServiceRabbitAndRabbitStreamDockerComposeConnectionDetailsFactoryIntegration,SingleServiceRabbitAndRabbitStreamDockerComposeConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-amqp/src/dockerTest/java/org/springframework/boot/amqp/docker/compose/SingleServiceRabbitAndRabbitStreamDockerComposeConnectionDetailsFactoryIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,artemis/docker/compose/ArtemisDockerComposeConnectionDetailsFactoryIntegration,ArtemisDockerComposeConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-artemis/src/dockerTest/java/org/springframework/boot/artemis/docker/compose/ArtemisDockerComposeConnectionDetailsFactoryIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,autoconfigure/data/cassandra/DataCassandraTestIntegration,DataCassandraTestIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-data-cassandra-test/src/dockerTest/java/org/springframework/boot/test/autoconfigure/data/cassandra/DataCassandraTestIntegrationTests.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
