file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-functions\utils\src\main\java\org\apache\pulsar\functions\utils\MessagePayloadProcessorUtils.java,org.apache.pulsar.functions.utils.MessagePayloadProcessorUtils$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker\src\test\java\org\apache\pulsar\client\api\SimpleSchemaTest.java,org.apache.pulsar.client.api.SimpleSchemaTest,class,42,43,1,42,99,3,0,110,44,0.7625,0.0,0.0,40,5,37,1,2,0,39,0,0,0,4,3,0,4,0,0,4,0,14,874,6,31,6,41,8,184,166,326,100,328,3,2,3,8,218,1,7
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-client\src\test\java\org\apache\pulsar\client\impl\ConsumerImplTest.java,org.apache.pulsar.client.impl.ConsumerImplTest,class,24,25,1,24,25,1,0,91,0,0.67368424,0.0,0.0,19,0,18,1,0,0,18,0,0,0,5,0,0,5,0,0,1,0,4,187,0,0,3,3,0,20,37,45,4,40,2,0,0,2,146,1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-client\src\main\java\org\apache\pulsar\client\impl\schema\generic\AvroRecordBuilderImpl.java,org.apache.pulsar.client.impl.schema.generic.AvroRecordBuilderImpl,class,9,11,2,9,12,1,0,11,0,0.375,0.0,0.0,8,0,5,0,2,1,8,0,0,0,2,0,0,2,0,0,2,0,0,54,7,0,0,0,2,2,0,2,0,2,2,0,0,0,33,0,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-common\src\main\java\org\apache\pulsar\client\impl\schema\SchemaInfoImpl.java,org.apache.pulsar.client.impl.schema.SchemaInfoImpl,class,15,17,2,15,12,1,0,7,0,0.5416667,0.0,0.0,4,0,4,0,0,0,4,0,0,0,6,0,0,6,0,0,0,0,8,42,6,0,3,0,0,1,0,9,0,7,1,0,0,0,62,1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-metadata\src\main\java\org\apache\pulsar\metadata\impl\LocalMemoryMetadataStore.java,org.apache.pulsar.metadata.impl.MemoryMetadataStoreProvider,class,4,5,1,4,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-functions\utils\src\main\java\org\apache\pulsar\functions\utils\MessagePayloadProcessorUtils.java,org.apache.pulsar.functions.utils.MessagePayloadProcessorUtils$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-io\batch-data-generator\src\main\java\org\apache\pulsar\io\batchdatagenerator\Person.java,org.apache.pulsar.io.batchdatagenerator.Person,class,8,11,3,8,1,1,0,19,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,16,0,0,16,0,0,0,0,1,43,0,0,0,0,0,0,0,0,0,16,0,0,3,0,53,1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-client\src\main\java\org\apache\pulsar\client\impl\metrics\UpDownCounter.java,org.apache.pulsar.client.impl.metrics.UpDownCounter,class,8,12,4,8,7,1,0,10,8,0.6,0.0,0.0,5,0,4,0,0,1,5,0,0,0,2,0,0,2,0,0,2,0,2,28,0,0,1,0,0,0,2,5,0,4,2,0,0,0,28,1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-functions\instance\src\main\java\org\apache\pulsar\functions\instance\stats\SourceStatsManager.java,org.apache.pulsar.functions.instance.stats.SourceStatsManager,class,11,13,2,11,29,2,0,19,267,0.92760164,0.0,0.0,26,0,25,1,0,0,25,0,0,0,34,10,10,20,2,2,28,0,3,162,16,0,1,0,0,26,16,46,26,41,1,0,0,0,105,1,0
