file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker\src\test\java\org\apache\pulsar\client\api\SimpleSchemaTest.java,org.apache.pulsar.client.api.SimpleSchemaTest,newProducerForMessageSchemaOnTopicWithMultiVersionSchema/0,false,292,14,2,0,2,5,25,54,0,19,0,25,0,0,0,0,5,0,7,7,19,3,3,0,0,1,65,1,0,false
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker\src\test\java\org\apache\pulsar\client\api\SimpleSchemaTest.java,org.apache.pulsar.client.api.SimpleSchemaTest,newConsumerWithSchemaOnExistingTopicWithoutSchema/0,false,769,6,0,0,0,2,9,9,0,3,0,9,0,0,0,0,1,0,3,0,3,1,1,0,0,0,34,1,0,false
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker\src\test\java\org\apache\pulsar\client\api\SimpleSchemaTest.java,org.apache.pulsar.client.api.SimpleSchemaTest,testAutoCreatedSchema/1[java.lang.String],false,1330,1,0,0,0,3,13,24,0,2,1,13,0,0,0,0,2,0,7,2,2,2,1,0,0,0,25,1,0,false
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker\src\test\java\org\apache\pulsar\client\api\SimpleSchemaTest.java,org.apache.pulsar.client.api.SimpleSchemaTest,getSchemaVersionFromMessages/1[boolean],false,815,4,3,2,1,1,15,9,0,4,1,15,0,0,0,0,1,0,2,2,4,1,1,0,0,0,25,2,0,false
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker\src\test\java\org\apache\pulsar\client\api\SimpleSchemaTest.java,org.apache.pulsar.client.api.SimpleSchemaTest,keyEncodingType/0,false,1435,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,0,false
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker\src\test\java\org\apache\pulsar\client\api\SimpleSchemaTest.java,org.apache.pulsar.client.api.SimpleSchemaTest,"testAutoKeyValueConsume/2[boolean,org.apache.pulsar.client.api.KeyValueEncodingType]",false,876,11,2,0,2,15,34,132,0,54,2,34,0,0,14,0,3,3,37,51,54,36,3,0,0,0,51,1,0,false
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker\src\test\java\org\apache\pulsar\client\api\SimpleSchemaTest.java,org.apache.pulsar.client.api.SimpleSchemaTest,newBytesConsumerWithTopicWithSchema/0,false,795,4,1,0,1,2,11,7,0,3,0,11,0,0,0,0,1,0,2,2,3,1,1,0,0,0,20,1,0,false
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker\src\test\java\org\apache\pulsar\client\api\SimpleSchemaTest.java,org.apache.pulsar.client.api.SimpleSchemaTest,getSchemaVersionFromMessagesBatchingEnabled/0,false,811,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker\src\test\java\org\apache\pulsar\client\api\SimpleSchemaTest.java,org.apache.pulsar.client.api.SimpleSchemaTest,testGetNativeSchemaWithAutoConsumeWithMultiVersion/0,false,1284,9,2,0,2,1,27,22,0,10,0,27,0,0,0,0,0,0,13,1,10,0,0,0,0,0,26,1,2,false
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker\src\test\java\org\apache\pulsar\client\api\SimpleSchemaTest.java,org.apache.pulsar.client.api.SimpleSchemaTest,newProducerNewTopicNewSchema/0,false,212,3,1,0,1,1,5,6,0,2,0,5,0,0,0,0,1,0,1,1,2,1,1,0,0,0,18,1,0,false
