App,Tag,FilePath,RelativeFilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\cassandra\examples\ssl-factory\test\unit\org\apache\cassandra\security\KubernetesSecretsPEMSslContextFactoryTest.java,dataset/projects/cassandra/examples/ssl-factory/test/unit/org/apache/cassandra/security/KubernetesSecretsPEMSslContextFactoryTest.java,KubernetesSecretsPEMSslContextFactoryTest.java,KubernetesSecretsPEMSslContextFactoryForTestOnly,24,17,103,9,9,0,true,false,false,false,true,false,false,true,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\cassandra\examples\ssl-factory\test\unit\org\apache\cassandra\security\KubernetesSecretsSslContextFactoryTest.java,dataset/projects/cassandra/examples/ssl-factory/test/unit/org/apache/cassandra/security/KubernetesSecretsSslContextFactoryTest.java,KubernetesSecretsSslContextFactoryTest.java,KubernetesSecretsSslContextFactoryForTestOnly,22,15,95,9,9,0,true,false,false,false,true,false,false,true,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\cassandra\test\anttasks\org\apache\cassandra\anttasks\TestHelper.java,dataset/projects/cassandra/test/anttasks/org/apache/cassandra/anttasks/TestHelper.java,TestHelper.java,TestHelper,4,2,7,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\cassandra\test\anttasks\org\apache\cassandra\anttasks\TestNameCheckTask.java,dataset/projects/cassandra/test/anttasks/org/apache/cassandra/anttasks/TestNameCheckTask.java,TestNameCheckTask.java,TestNameCheckTask,23,11,34,0,0,0,true,true,false,false,true,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\cassandra\test\burn\org\apache\cassandra\concurrent\LongOpOrderTest.java,dataset/projects/cassandra/test/burn/org/apache/cassandra/concurrent/LongOpOrderTest.java,LongOpOrderTest.java,Producer,14,8,29,1,1,0,true,false,false,false,true,false,false,false,false,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\cassandra\test\burn\org\apache\cassandra\concurrent\LongSharedExecutorPoolTest.java,dataset/projects/cassandra/test/burn/org/apache/cassandra/concurrent/LongSharedExecutorPoolTest.java,LongSharedExecutorPoolTest.java,Batch,13,6,29,2,1,1,true,false,false,false,true,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\cassandra\test\burn\org\apache\cassandra\net\ConnectionBurnTest.java,dataset/projects/cassandra/test/burn/org/apache/cassandra/net/ConnectionBurnTest.java,ConnectionBurnTest.java,WrappedInboundCallbacks,46,40,74,2,1,1,true,false,false,false,false,false,false,false,false,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\cassandra\test\burn\org\apache\cassandra\service\accord\AccordExecutorBurnTest.java,dataset/projects/cassandra/test/burn/org/apache/cassandra/service/accord/AccordExecutorBurnTest.java,AccordExecutorBurnTest.java,State,7,4,2,1,1,0,true,false,false,false,true,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\cassandra\test\burn\org\apache\cassandra\transport\DriverBurnTest.java,dataset/projects/cassandra/test/burn/org/apache/cassandra/transport/DriverBurnTest.java,DriverBurnTest.java,DriverBurnTest,37,24,72,13,13,0,true,true,false,false,true,false,false,true,false,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\cassandra\test\burn\org\apache\cassandra\transport\SimpleClientBurnTest.java,dataset/projects/cassandra/test/burn/org/apache/cassandra/transport/SimpleClientBurnTest.java,SimpleClientBurnTest.java,SimpleClientBurnTest,34,7,37,1,1,0,true,true,false,false,true,false,false,true,false,true
