App,Tag,FilePath,RelativeFilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\elasticsearch\benchmarks\src\main\java\org\elasticsearch\benchmark\routing\allocation\TestShardRoutingRoleStrategies.java,dataset/projects/elasticsearch/benchmarks/src/main/java/org/elasticsearch/benchmark/routing/allocation/TestShardRoutingRoleStrategies.java,TestShardRoutingRoleStrategies.java,TestShardRoutingRoleStrategies,2,2,2,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\elasticsearch\benchmarks\src\test\java\org\elasticsearch\benchmark\bytes\BytesArrayIndexOfBenchmarkTests.java,dataset/projects/elasticsearch/benchmarks/src/test/java/org/elasticsearch/benchmark/bytes/BytesArrayIndexOfBenchmarkTests.java,BytesArrayIndexOfBenchmarkTests.java,BytesArrayIndexOfBenchmarkTests,4,2,9,1,0,1,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\elasticsearch\benchmarks\src\test\java\org\elasticsearch\benchmark\compute\operator\AggregatorBenchmarkTests.java,dataset/projects/elasticsearch/benchmarks/src/test/java/org/elasticsearch/benchmark/compute/operator/AggregatorBenchmarkTests.java,AggregatorBenchmarkTests.java,AggregatorBenchmarkTests,1,1,1,1,0,1,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\elasticsearch\benchmarks\src\test\java\org\elasticsearch\benchmark\compute\operator\BlockKeepMaskBenchmarkTests.java,dataset/projects/elasticsearch/benchmarks/src/test/java/org/elasticsearch/benchmark/compute/operator/BlockKeepMaskBenchmarkTests.java,BlockKeepMaskBenchmarkTests.java,BlockKeepMaskBenchmarkTests,1,1,1,1,0,1,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\elasticsearch\benchmarks\src\test\java\org\elasticsearch\benchmark\compute\operator\BlockReadBenchmarkTests.java,dataset/projects/elasticsearch/benchmarks/src/test/java/org/elasticsearch/benchmark/compute/operator/BlockReadBenchmarkTests.java,BlockReadBenchmarkTests.java,BlockReadBenchmarkTests,1,1,1,1,0,1,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\elasticsearch\benchmarks\src\test\java\org\elasticsearch\benchmark\compute\operator\EvalBenchmarkTests.java,dataset/projects/elasticsearch/benchmarks/src/test/java/org/elasticsearch/benchmark/compute/operator/EvalBenchmarkTests.java,EvalBenchmarkTests.java,EvalBenchmarkTests,1,1,1,1,0,1,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\elasticsearch\benchmarks\src\test\java\org\elasticsearch\benchmark\compute\operator\ValuesAggregatorBenchmarkTests.java,dataset/projects/elasticsearch/benchmarks/src/test/java/org/elasticsearch/benchmark/compute/operator/ValuesAggregatorBenchmarkTests.java,ValuesAggregatorBenchmarkTests.java,ValuesAggregatorBenchmarkTests,1,1,1,1,0,1,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\elasticsearch\benchmarks\src\test\java\org\elasticsearch\benchmark\index\codec\tsdb\internal\LongArraySupplierTests.java,dataset/projects/elasticsearch/benchmarks/src/test/java/org/elasticsearch/benchmark/index/codec/tsdb/internal/LongArraySupplierTests.java,LongArraySupplierTests.java,LongArraySupplierTests,3,30,83,29,0,29,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\elasticsearch\benchmarks\src\test\java\org\elasticsearch\benchmark\inference\OpenAiEmbeddingsParseBenchmarkTests.java,dataset/projects/elasticsearch/benchmarks/src/test/java/org/elasticsearch/benchmark/inference/OpenAiEmbeddingsParseBenchmarkTests.java,OpenAiEmbeddingsParseBenchmarkTests.java,OpenAiEmbeddingsParseBenchmarkTests,1,1,1,1,0,1,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\elasticsearch\benchmarks\src\test\java\org\elasticsearch\benchmark\search\msearch\MsearchEstimationBenchmarkTests.java,dataset/projects/elasticsearch/benchmarks/src/test/java/org/elasticsearch/benchmark/search/msearch/MsearchEstimationBenchmarkTests.java,MsearchEstimationBenchmarkTests.java,MsearchEstimationBenchmarkTests,6,4,16,2,0,2,true,true,false,false,false,false,false,false,false,false
