App,Tag,FilePath,RelativeFilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\features\TesterRequirements.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/features/TesterRequirements.java,TesterRequirements.java,TesterRequirements,getPresentFeatures,1,0,Set<Feature<?>>,public,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\features\TesterRequirements.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/features/TesterRequirements.java,TesterRequirements.java,TesterRequirements,getAbsentFeatures,1,0,Set<Feature<?>>,public,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\features\TesterRequirements.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/features/TesterRequirements.java,TesterRequirements.java,TesterRequirements,equals,3,1,boolean,public,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\features\TesterRequirements.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/features/TesterRequirements.java,TesterRequirements.java,TesterRequirements,hashCode,1,0,int,public,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\features\TesterRequirements.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/features/TesterRequirements.java,TesterRequirements.java,TesterRequirements,toString,1,0,String,public,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\google\TestBiMapGenerator.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestBiMapGenerator.java,TestBiMapGenerator.java,TestBiMapGenerator,createKeyArray,0,1,K[],,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\google\TestBiMapGenerator.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestBiMapGenerator.java,TestBiMapGenerator.java,TestBiMapGenerator,createValueArray,0,1,V[],,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\google\TestEnumMultisetGenerator.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestEnumMultisetGenerator.java,TestEnumMultisetGenerator.java,TestEnumMultisetGenerator,samples,1,0,SampleElements<AnEnum>,public,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\google\TestEnumMultisetGenerator.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestEnumMultisetGenerator.java,TestEnumMultisetGenerator.java,TestEnumMultisetGenerator,create,4,1,Multiset<AnEnum>,public,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\guava\android\guava-testlib\src\com\google\common\collect\testing\google\TestEnumMultisetGenerator.java,dataset/projects/guava/android/guava-testlib/src/com/google/common/collect/testing/google/TestEnumMultisetGenerator.java,TestEnumMultisetGenerator.java,TestEnumMultisetGenerator,create,0,1,Multiset<AnEnum>,protected; abstract,false,false,true,true
