App,Tag,FilePath,RelativeFilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\kafka\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\AddPartitionsTest.java,dataset/projects/kafka/clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/AddPartitionsTest.java,AddPartitionsTest.java,AddPartitionsTest,19,7,7,7,0,7,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\kafka\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\AdminClientTimeoutIntegrationTest.java,dataset/projects/kafka/clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/AdminClientTimeoutIntegrationTest.java,AdminClientTimeoutIntegrationTest.java,FailureInjectingTimeoutProcessor,13,5,9,1,0,1,true,false,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\kafka\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\AdminClientWithPoliciesIntegrationTest.java,dataset/projects/kafka/clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/AdminClientWithPoliciesIntegrationTest.java,AdminClientWithPoliciesIntegrationTest.java,Policy,28,6,12,1,0,1,true,false,false,false,false,false,false,false,false,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\kafka\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\AdminFenceProducersTest.java,dataset/projects/kafka/clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/AdminFenceProducersTest.java,AdminFenceProducersTest.java,AdminFenceProducersTest,21,4,8,3,0,3,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\kafka\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\AutoTopicCreationTest.java,dataset/projects/kafka/clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/AutoTopicCreationTest.java,AutoTopicCreationTest.java,AutoTopicCreationTest,9,5,13,4,0,4,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\kafka\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\ClientTelemetryTest.java,dataset/projects/kafka/clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/ClientTelemetryTest.java,ClientTelemetryTest.java,TelemetryExporter,38,8,9,2,0,2,true,false,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\kafka\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\ConcurrentListOffsetsRequestTest.java,dataset/projects/kafka/clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/ConcurrentListOffsetsRequestTest.java,ConcurrentListOffsetsRequestTest.java,TestHostResolver,30,9,36,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\kafka\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\DeleteTopicTest.java,dataset/projects/kafka/clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/DeleteTopicTest.java,DeleteTopicTest.java,DeleteTopicTest,33,19,23,11,0,11,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\kafka\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\DescribeAuthorizedOperationsTest.java,dataset/projects/kafka/clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/DescribeAuthorizedOperationsTest.java,DescribeAuthorizedOperationsTest.java,DescribeAuthorizedOperationsTest,34,7,21,3,0,3,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\kafka\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\DescribeFeaturesTest.java,dataset/projects/kafka/clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/DescribeFeaturesTest.java,DescribeFeaturesTest.java,DescribeFeaturesTest,17,3,7,2,0,2,true,true,false,false,false,false,false,false,false,false
