App,Tag,FilePath,RelativeFilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\main\java\org\apache\pulsar\tests\TestRetrySupport.java,dataset/projects/pulsar/buildtools/src/main/java/org/apache/pulsar/tests/TestRetrySupport.java,TestRetrySupport.java,TestRetrySupport,5,6,7,0,0,0,true,true,false,false,false,false,false,false,false,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\AnnotationListenerTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/AnnotationListenerTest.java,AnnotationListenerTest.java,AnnotationListenerTest,3,1,4,1,1,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\BetweenTestClassesListenerAdapterTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/BetweenTestClassesListenerAdapterTest.java,BetweenTestClassesListenerAdapterTest.java,FactoryMethodCaseWithoutAfterClass,23,41,85,13,13,0,true,false,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\DefaultTestRetriesTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/DefaultTestRetriesTest.java,DefaultTestRetriesTest.java,DefaultTestRetriesTest,1,3,3,3,3,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\EnumValuesDataProviderTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/EnumValuesDataProviderTest.java,EnumValuesDataProviderTest.java,EnumValuesDataProviderTest,7,5,8,4,4,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\FastThreadLocalStateCleanerTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/FastThreadLocalStateCleanerTest.java,FastThreadLocalStateCleanerTest.java,MagicNumberWrapper,10,5,33,3,3,0,true,false,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\RetryAnalyzerTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/RetryAnalyzerTest.java,RetryAnalyzerTest.java,TestRetryAnalyzer,1,3,6,3,3,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\TestRetrySupportBeforeMethodRetryTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/TestRetrySupportBeforeMethodRetryTest.java,TestRetrySupportBeforeMethodRetryTest.java,IllegalStateRetry,7,4,9,1,1,0,true,false,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\TestRetrySupportRetryTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/TestRetrySupportRetryTest.java,TestRetrySupportRetryTest.java,IllegalStateRetry,8,4,9,1,1,0,true,false,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\TestRetrySupportSuccessTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/TestRetrySupportSuccessTest.java,TestRetrySupportSuccessTest.java,TestRetrySupportSuccessTest,4,5,10,3,3,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\ThreadDumpUtilTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/ThreadDumpUtilTest.java,ThreadDumpUtilTest.java,ThreadDumpUtilTest,2,2,2,2,2,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\buildtools\src\test\java\org\apache\pulsar\tests\ThreadLocalStateCleanerTest.java,dataset/projects/pulsar/buildtools/src/test/java/org/apache/pulsar/tests/ThreadLocalStateCleanerTest.java,ThreadLocalStateCleanerTest.java,ThreadValueEntry,9,4,25,2,2,0,true,false,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\jetty-upgrade\zookeeper-prometheus-metrics\src\test\java\org\apache\pulsar\metrics\prometheus\zookeeper\ExportJvmInfoTest.java,dataset/projects/pulsar/jetty-upgrade/zookeeper-prometheus-metrics/src/test/java/org/apache/pulsar/metrics/prometheus/zookeeper/ExportJvmInfoTest.java,ExportJvmInfoTest.java,ExportJvmInfoTest,4,3,5,2,2,0,true,true,false,false,false,false,false,false,false,false
